0.2563,0.9503
0.2405,0.9018
0.1157,0.3676
0.5147,0.0167
0.4127,0.3275
0.2809,0.583
0.8263,0.9301
0.9359,0.8724
0.1096,0.9165
0.5158,0.8545
0.1334,0.1362
0.6371,0.1439
0.7052,0.6277
0.8703,0.8666
0.2612,0.6109
0.0244,0.5279
0.9588,0.3672
0.9332,0.5499
0.9623,0.2961
0.7297,0.5776
0.456,0.1871
0.1715,0.7713
0.5571,0.5485
0.3344,0.0259
0.4803,0.7635
0.9721,0.485
0.8318,0.7844
0.1373,0.0292
0.366,0.8581
0.3626,0.7302
0.6474,0.3324
0.3461,0.2398
0.1353,0.812
0.3463,0.1017
0.9086,0.1947
0.5227,0.2321
0.5153,0.2041
0.1832,0.0661
0.5015,0.9812
0.5024,0.5274
